hour-min,msec,n,i,j,ans,check
2254,24787,1,72,1,1,0
2254,25521,2,87,37,1,0
2254,25896,3,81,74,1,0
2254,26095,4,61,54,1,0
2254,26313,5,34,25,1,0
2254,26475,6,31,90,1,0
2254,26640,7,57,58,1,0
2254,26806,8,49,2,1,0
2254,26966,9,75,60,1,0
2254,27131,10,49,17,1,0
2254,27293,11,32,89,1,0
2254,27452,12,3,90,1,0
2254,27616,13,92,95,1,0
2254,27782,14,54,40,1,0
2254,27957,15,29,84,1,0
2254,28122,16,58,13,1,0
2254,28301,17,21,44,1,0
2254,28477,18,85,88,1,0
2254,28824,19,17,61,11,0
2254,29198,20,11,25,1,0
2254,29487,21,82,100,1,0
2254,29697,22,47,66,1,0
2254,29882,23,54,51,1,0
2254,30060,24,10,17,1,0
2254,30245,25,27,32,1,0
2254,30415,26,22,52,1,0
2254,30620,27,21,84,1,0
2254,30788,28,80,75,1,0
2254,30969,29,70,44,1,0
2254,31145,30,3,86,1,0
2254,31344,31,39,20,1,0
2254,31511,32,82,30,1,0
2254,31696,33,76,84,1,0
2254,31887,34,21,58,1,0
2254,32061,35,53,96,1,0
2254,32256,36,52,81,1,0
2254,32442,37,19,66,1,0
2254,32637,38,49,2,1,0
2254,32823,39,27,92,1,0
2254,33019,40,50,54,1,0
2254,33191,41,46,45,1,0
2254,33416,42,3,53,1,0
2254,33580,43,72,38,1,0
2254,33768,44,30,17,1,0
2254,33975,45,17,69,1,0
2254,34161,46,92,28,1,0
2254,34341,47,12,32,1,0
2254,34688,48,2,83,1,0
2254,35005,49,96,73,1,0
2254,35343,50,68,37,1,0
2254,36187,0,0,0,0,0
