hour-min,msec,n,i,j,ans,check
2209,3663,1,52,23,75,1
2209,11047,2,83,10,1,0
2209,15941,3,19,52,1,0
2209,16205,4,89,92,1,0
2209,16389,5,9,1,1,0
2209,16581,6,56,98,1,0
2209,16773,7,7,95,1,0
2209,16949,8,74,32,11,0
2209,17564,9,11,73,1,0
2209,17725,10,84,30,1,0
2209,17901,11,94,95,1,0
2209,18077,12,21,17,1,0
2209,18245,13,24,84,1,0
2209,18422,14,52,68,1,0
2209,18598,15,56,35,1,0
2209,18765,16,94,54,1,0
2209,18949,17,39,25,1,0
2209,19133,18,19,54,1,0
2209,19324,19,22,7,1,0
2209,19525,20,22,28,1,0
2209,19701,21,76,56,1,0
2209,19909,22,70,20,1,0
2209,20117,23,88,42,1,0
2209,20317,24,2,33,1,0
2209,20517,25,43,47,1,0
2209,20718,26,34,42,1,0
2209,20909,27,40,96,1,0
2209,21101,28,35,28,1,0
2209,21301,29,36,62,1,0
2209,21494,30,64,19,1,0
2209,21693,31,99,56,1,0
2209,21902,32,86,99,1,0
2209,22102,33,63,12,1,0
2209,22294,34,62,60,1,0
2209,22477,35,71,97,1,0
2209,22670,36,98,62,1,0
2209,22861,37,41,59,1,0
2209,23046,38,2,14,1,0
2209,23229,39,63,69,1,0
2209,23414,40,80,10,1,0
2209,23598,41,95,52,1,0
2209,23788,42,93,94,1,0
2209,23983,43,17,37,1,0
2209,24166,44,70,92,1,0
2209,24350,45,49,11,1,0
2209,24542,46,80,45,1,0
2209,24734,47,55,75,1,0
2209,24918,48,43,85,1,0
2209,25110,49,99,6,1,0
2209,25310,50,67,78,1,0
2209,25526,0,0,0,0,0
