year-date,EnterTime,n,i,j,ans,check
2015-10-27,14:21:57:849,1,15,90,105,1
2015-10-27,14:21:59:971,2,45,62,107,1
2015-10-27,14:22:5:219,3,82,51,5,0
2015-10-27,14:22:6:797,4,16,49,5,0
2015-10-27,14:22:7:16,5,67,12,5,0
2015-10-27,14:22:7:219,6,71,34,55,0
2015-10-27,14:22:7:598,7,60,77,5,0
2015-10-27,14:22:7:786,8,29,94,55,0
2015-10-27,14:22:8:192,9,36,21,5,0
2015-10-27,14:22:8:348,10,21,40,5,0
2015-10-27,14:22:8:583,11,13,99,5,0
2015-10-27,14:22:8:755,12,73,55,55,0
2015-10-27,14:22:9:130,13,59,77,5,0
2015-10-27,14:22:9:317,14,43,89,5,0
2015-10-27,14:22:9:520,15,78,68,5,0
2015-10-27,14:22:9:739,16,68,84,5,0
2015-10-27,14:22:9:927,17,65,70,5,0
2015-10-27,14:22:10:145,18,17,52,5,0
2015-10-27,14:22:10:333,19,86,86,5,0
2015-10-27,14:22:10:520,20,68,10,5,0
2015-10-27,14:22:10:755,21,27,47,5,0
2015-10-27,14:22:10:942,22,10,63,5,0
2015-10-27,14:22:11:161,23,58,61,555,0
2015-10-27,14:22:11:817,24,41,68,5,0
2015-10-27,14:22:12:20,25,51,51,5,0
2015-10-27,14:22:12:208,26,9,96,5,0
2015-10-27,14:22:12:439,27,14,39,5,0
2015-10-27,14:22:12:643,28,26,30,5,0
2015-10-27,14:22:12:861,29,52,97,5,0
2015-10-27,14:22:13:64,30,42,54,5,0
2015-10-27,14:22:13:299,31,69,85,5,0
2015-10-27,14:22:13:526,32,4,8,55,0
2015-10-27,14:22:13:761,33,12,47,55,0
2015-10-27,14:22:14:281,34,29,13,55,0
2015-10-27,14:22:14:749,35,12,73,5,0
2015-10-27,14:22:14:953,36,28,79,5,0
2015-10-27,14:22:15:140,37,43,60,5,0
2015-10-27,14:22:15:359,38,50,46,5,0
2015-10-27,14:22:17:171,39,9,75,5,0
2015-10-27,14:22:17:410,40,21,62,5,0
2015-10-27,14:22:17:660,41,95,30,5,0
2015-10-27,14:22:18:51,42,11,94,5,0
2015-10-27,14:22:18:270,43,78,77,5,0
2015-10-27,14:22:18:488,44,25,45,5,0
2015-10-27,14:22:18:707,45,61,34,5,0
2015-10-27,14:22:18:914,46,43,69,5,0
2015-10-27,14:22:19:125,47,7,54,55,0
2015-10-27,14:22:19:566,48,53,33,5,0
2015-10-27,14:22:19:784,49,91,60,5,0
2015-10-27,14:22:20:19,50,75,14,5,0
2015-10-27,14:22:20:191,null,null,null,null,null
