year-date,EnterTime,n,i,j,ans,check
2015-10-27,15:3:20:810,1,7,99,106,1
2015-10-27,15:3:23:811,2,40,62,102,1
2015-10-27,15:3:27:359,3,69,22,2,0
2015-10-27,15:3:28:578,4,87,8,2,0
2015-10-27,15:3:28:828,5,29,26,2,0
2015-10-27,15:3:29:62,6,31,92,2,0
2015-10-27,15:3:29:290,7,47,41,2,0
2015-10-27,15:3:29:524,8,64,13,2,0
2015-10-27,15:3:29:774,9,18,75,2,0
2015-10-27,15:3:30:55,10,80,50,2,0
2015-10-27,15:3:30:258,11,100,40,2,0
2015-10-27,15:3:30:508,12,52,26,2,0
2015-10-27,15:3:30:774,13,9,43,2,0
2015-10-27,15:3:30:993,14,29,33,2,0
2015-10-27,15:3:31:383,15,79,9,2,0
2015-10-27,15:3:31:696,16,88,82,2,0
2015-10-27,15:3:31:899,17,5,26,2,0
2015-10-27,15:3:32:171,18,48,37,2,0
2015-10-27,15:3:32:436,19,95,87,2,0
2015-10-27,15:3:32:702,20,58,80,2,0
2015-10-27,15:3:32:999,21,8,30,2,0
2015-10-27,15:3:33:223,22,76,49,2,0
2015-10-27,15:3:33:458,23,1,30,2,0
2015-10-27,15:3:33:708,24,70,27,2,0
2015-10-27,15:3:33:942,25,78,11,2,0
2015-10-27,15:3:34:216,26,35,69,2,0
2015-10-27,15:3:34:466,27,38,70,2,0
2015-10-27,15:3:34:684,28,54,35,2,0
2015-10-27,15:3:34:908,29,79,16,2,0
2015-10-27,15:3:35:139,30,11,29,2,0
2015-10-27,15:3:35:436,31,82,13,2,0
2015-10-27,15:3:35:655,32,57,74,2,0
2015-10-27,15:3:35:874,33,100,26,2,0
2015-10-27,15:3:36:159,34,25,71,2,0
2015-10-27,15:3:36:378,35,25,28,2,0
2015-10-27,15:3:36:596,36,4,27,2,0
2015-10-27,15:3:36:815,37,82,9,2,0
2015-10-27,15:3:37:49,38,40,91,2,0
2015-10-27,15:3:37:299,39,87,96,2,0
2015-10-27,15:3:37:549,40,39,1,2,0
2015-10-27,15:3:37:862,41,60,22,2,0
2015-10-27,15:3:38:96,42,71,58,2,0
2015-10-27,15:3:38:362,43,51,45,2,0
2015-10-27,15:3:38:784,44,82,77,2,0
2015-10-27,15:3:39:3,45,15,49,2,0
2015-10-27,15:3:39:221,46,99,84,2,0
2015-10-27,15:3:39:424,47,43,75,2,0
2015-10-27,15:3:39:659,48,50,28,2,0
2015-10-27,15:3:39:909,49,5,44,2,0
2015-10-27,15:3:40:128,50,5,87,2,0
2015-10-27,15:3:40:362,null,null,null,null,null
