year-date,EnterTime,n,i,j,ans,check
2015-10-27,13:28:54:159,1,55,6,61,1
2015-10-27,13:28:56:518,2,11,72,83,1
2015-10-27,13:28:59:302,3,81,69,150,1
2015-10-27,13:29:2:662,4,56,58,114,1
2015-10-27,13:29:6:750,5,73,86,159,1
2015-10-27,13:29:9:582,6,75,85,160,1
2015-10-27,13:29:12:502,7,26,46,72,1
2015-10-27,13:29:14:822,8,1,80,81,1
2015-10-27,13:29:16:686,9,100,1,101,1
2015-10-27,13:29:18:854,10,8,64,72,1
2015-10-27,13:29:22:710,11,26,74,100,1
2015-10-27,13:29:26:606,12,39,38,77,1
2015-10-27,13:29:30:199,13,95,96,191,1
2015-10-27,13:29:34:183,14,76,90,166,1
2015-10-27,13:29:36:287,15,17,20,37,1
2015-10-27,13:29:38:94,16,51,8,59,1
2015-10-27,13:29:39:638,17,34,67,101,1
2015-10-27,13:29:43:526,18,96,40,136,1
2015-10-27,13:29:45:782,19,24,75,99,1
2015-10-27,13:29:48:174,20,11,72,83,1
2015-10-27,13:29:51:390,21,83,17,100,1
2015-10-27,13:29:54:966,22,23,66,89,1
2015-10-27,13:29:57:710,23,71,91,162,1
2015-10-27,13:30:0:486,24,18,48,66,1
2015-10-27,13:30:3:478,25,30,77,107,1
2015-10-27,13:30:5:311,26,64,79,113,0
2015-10-27,13:30:7:902,27,24,13,37,1
2015-10-27,13:30:10:630,28,66,26,92,1
2015-10-27,13:30:14:78,29,35,10,45,1
2015-10-27,13:30:15:965,30,21,91,112,1
2015-10-27,13:30:20:462,31,43,37,80,1
2015-10-27,13:30:23:102,32,55,44,99,1
2015-10-27,13:30:24:678,33,75,32,107,1
2015-10-27,13:30:27:862,34,10,47,57,1
2015-10-27,13:30:30:254,35,26,43,69,1
2015-10-27,13:30:32:734,36,97,68,165,1
2015-10-27,13:30:36:654,37,94,30,124,1
2015-10-27,13:30:38:741,38,100,22,122,1
2015-10-27,13:30:40:254,39,58,96,154,1
2015-10-27,13:30:44:206,40,92,71,163,1
2015-10-27,13:30:47:734,41,67,72,139,1
2015-10-27,13:30:51:86,42,76,5,81,1
2015-10-27,13:30:54:670,43,19,11,30,1
2015-10-27,13:30:57:414,44,74,4,78,1
2015-10-27,13:31:0:278,45,59,12,71,1
2015-10-27,13:31:3:366,46,17,58,75,1
2015-10-27,13:31:7:294,47,6,22,28,1
2015-10-27,13:31:9:614,48,33,30,63,1
2015-10-27,13:31:11:229,49,34,59,73,0
2015-10-27,13:31:16:166,50,32,41,73,1
2015-10-27,13:31:21:317,null,null,null,null,null
